code,modelName,test_group_col,acc,n_samples,elabTime,trainTime,testTime
20230902 173812.513051,lda_svd,day0,0.2535,1000,0.0007,0.0,0.0003
20230902 173812.520053,lda_svd,day0,0.2576,1000,0.0006,0.0,0.0003
20230902 173812.532056,lda_svd,day1,0.3163,1000,0.0006,0.0,0.0003
20230902 173812.541059,lda_svd,day1,0.2304,1000,0.0006,0.0,0.0003
20230902 173812.552061,lda_svd,day2,0.2402,1000,0.0006,0.0,0.0003
20230902 173812.562064,lda_svd,day2,0.2829,1000,0.0007,0.0,0.0004
20230902 173812.575069,lda_svd,day3,0.2768,1000,0.0006,0.0,0.0003
20230902 173812.586071,lda_svd,day3,0.2677,1000,0.0006,0.0,0.0003
20230902 173812.597074,lda_svd,day4,0.2723,1000,0.0006,0.0,0.0003
20230902 173812.607077,lda_svd,day4,0.2312,1000,0.0006,0.0,0.0003
20230902 173812.618080,lda_svd,day0,0.2483,5000,0.0008,0.0,0.0004
20230902 173812.627083,lda_svd,day0,0.2483,5000,0.0008,0.0,0.0004
20230902 173812.640086,lda_svd,day1,0.2541,5000,0.0008,0.0,0.0004
20230902 173812.650090,lda_svd,day1,0.2541,5000,0.0007,0.0,0.0004
20230902 173812.673295,lda_svd,day2,0.251,5000,0.0007,0.0,0.0004
20230902 173812.683298,lda_svd,day2,0.251,5000,0.0007,0.0,0.0004
20230902 173812.693300,lda_svd,day3,0.2473,5000,0.0008,0.0,0.0004
20230902 173812.703303,lda_svd,day3,0.2473,5000,0.0008,0.0,0.0004
20230902 173812.713306,lda_svd,day4,0.2413,5000,0.0008,0.0,0.0004
20230902 173812.725309,lda_svd,day4,0.2413,5000,0.0008,0.0,0.0004
code,modelName,test_group_col,acc,n_samples,elabTime,trainTime,testTime
20230902 173929.477743,lda_svd, ,1.0,10,0.0014,0.0009,0.0002
20230902 173929.506808,lda_svd, ,1.0,10,0.0012,0.0007,0.0002
20230902 173929.521807,lda_svd, ,1.0,50,0.0012,0.0008,0.0002
20230902 173929.531807,lda_svd, ,1.0,50,0.0014,0.0008,0.0002
20230902 173929.546810,lda_svd, ,1.0,150,0.0015,0.0009,0.0002
20230902 173929.566812,lda_svd, ,0.9667,150,0.0014,0.0009,0.0002
20230902 173929.576815,lda_lsqr, ,0.5,10,0.0016,0.0011,0.0002
20230902 173929.596814,lda_lsqr, ,1.0,10,0.0017,0.0012,0.0003
20230902 173929.611814,lda_lsqr, ,1.0,50,0.0015,0.001,0.0002
20230902 173929.626816,lda_lsqr, ,0.9,50,0.002,0.0015,0.0002
20230902 173929.636815,lda_lsqr, ,1.0,150,0.0016,0.0011,0.0002
20230902 173929.646815,lda_lsqr, ,1.0,150,0.0025,0.0017,0.0004
20230902 173929.661817,lda_eigen, ,1.0,10,0.0106,0.01,0.0003
20230902 173929.681817,lda_eigen, ,1.0,10,0.0017,0.0012,0.0002
20230902 173929.696818,lda_eigen, ,1.0,50,0.0016,0.0012,0.0002
20230902 173929.711821,lda_eigen, ,1.0,50,0.0022,0.0015,0.0003
20230902 173929.721820,lda_eigen, ,1.0,150,0.0018,0.0013,0.0003
20230902 173929.731821,lda_eigen, ,1.0,150,0.0022,0.0015,0.0003
